Species	Phylum	Class	Order	Family	Genus
Bifidobacterium adolescentis	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bifidobacterium longum subsp. longum	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Collinsella aerofaciens	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Eggerthella lenta	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella
Phocaeicola vulgatus	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
Bacteroides uniformis	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteroides fragilis	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteroides thetaiotaomicron	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Odoribacter splanchnicus	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
Parabacteroides merdae	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Parabacteroides distasonis	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Prevotella copri	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Lacticaseibacillus paracasei	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus
Streptococcus salivarius	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Streptococcus parasanguinis	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Clostridium perfringens	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Blautia obeum	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia
Coprococcus comes	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus
Dorea formicigenerans	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Dorea
Enterocloster bolteae	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster
Eubacterium rectale	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Eubacterium
Lacrimispora saccharolytica	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lacrimispora
Ruminococcus gnavus	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter
Ruminococcus torques	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter
Roseburia intestinalis	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia
Ruminococcus bromii	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus
Erysipelatoclostridium ramosum	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium
Veillonella parvula	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Fusobacterium nucleatum subsp. nucleatum	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Bilophila wadsworthia	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila
Escherichia coli ED1a	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia
Akkermansia muciniphila	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaea	Akkermansia
